,question,distractor3,distractor1,distractor2,correct_answer,support,answer,question_with_text,choice_list,label,predicted_index,predicted_answer
49,What record shows that dinosaurs originated 200-250 million years ago?,species record,ancient record,biological record,fossil record,,fossil record,Question: What record shows that dinosaurs originated 200-250 million years ago?. Supporting Text: .,['species record' 'biological record' 'ancient record' 'fossil record'],3,0,species record
50,"What instrument is used to make very sensitive mass measurements in a laboratory, usually in grams?",scale,speedometer,thermometer,analytical balance,"An analytical balance makes very sensitive mass measurements in a laboratory, usually in grams.",analytical balance,"Question: What instrument is used to make very sensitive mass measurements in a laboratory, usually in grams?. Supporting Text: An analytical balance makes very sensitive mass measurements in a laboratory, usually in grams..",['scale' 'thermometer' 'speedometer' 'analytical balance'],3,3,analytical balance
51,What is the purpose of bright colors on a flower's petals?,to attract a mate,to distract predators,to absorb light,to attract pollinators,"Flowers Flowers are modified leaves, or sporophylls, organized around a central stalk. Although they vary greatly in appearance, all flowers contain the same structures: sepals, petals, carpels, and stamens. The peduncle attaches the flower to the plant. A whorl of sepals (collectively called the calyx) is located at the base of the peduncle and encloses the unopened floral bud. Sepals are usually photosynthetic organs, although there are some exceptions. For example, the corolla in lilies and tulips consists of three sepals and three petals that look virtually identical. Petals, collectively the corolla, are located inside the whorl of sepals and often display vivid colors to attract pollinators. Flowers pollinated by wind are usually small, feathery, and visually inconspicuous. Sepals and petals together form the perianth. The sexual organs (carpels and stamens) are located at the center of the flower. As illustrated in Figure 26.14, styles, stigmas, and ovules constitute the female organ: the gynoecium or carpel. Flower structure is very diverse, and carpels may be singular, multiple, or fused. Multiple fused carpels comprise a pistil. The megaspores and the female gametophytes are produced and protected by the thick tissues of the carpel. A long, thin structure called a style leads from the sticky stigma, where pollen is deposited, to the ovary, enclosed in the carpel. The ovary houses one or more ovules, each of which will develop into a seed upon fertilization. The male reproductive organs, the stamens (collectively called the androecium), surround the central carpel. Stamens are composed of a thin stalk called a filament and a sac-like structure called the anther. The filament supports the anther, where the microspores are produced by meiosis and develop into pollen grains.",to attract pollinators,"Question: What is the purpose of bright colors on a flower's petals?. Supporting Text: Flowers Flowers are modified leaves, or sporophylls, organized around a central stalk. Although they vary greatly in appearance, all flowers contain the same structures: sepals, petals, carpels, and stamens. The peduncle attaches the flower to the plant. A whorl of sepals (collectively called the calyx) is located at the base of the peduncle and encloses the unopened floral bud. Sepals are usually photosynthetic organs, although there are some exceptions. For example, the corolla in lilies and tulips consists of three sepals and three petals that look virtually identical. Petals, collectively the corolla, are located inside the whorl of sepals and often display vivid colors to attract pollinators. Flowers pollinated by wind are usually small, feathery, and visually inconspicuous. Sepals and petals together form the perianth. The sexual organs (carpels and stamens) are located at the center of the flower. As illustrated in Figure 26.14, styles, stigmas, and ovules constitute the female organ: the gynoecium or carpel. Flower structure is very diverse, and carpels may be singular, multiple, or fused. Multiple fused carpels comprise a pistil. The megaspores and the female gametophytes are produced and protected by the thick tissues of the carpel. A long, thin structure called a style leads from the sticky stigma, where pollen is deposited, to the ovary, enclosed in the carpel. The ovary houses one or more ovules, each of which will develop into a seed upon fertilization. The male reproductive organs, the stamens (collectively called the androecium), surround the central carpel. Stamens are composed of a thin stalk called a filament and a sac-like structure called the anther. The filament supports the anther, where the microspores are produced by meiosis and develop into pollen grains..","['to attract a mate' 'to absorb light' 'to distract predators'
 'to attract pollinators']",3,3,to attract pollinators
52,Collateral ganglia controls organs in which cavity in the body?,cardiac,cranial,pelvic,abdominal,"To continue with the analogy of the circuit diagram, there are three different types of “junctions” that operate within the sympathetic system (Figure 15.3). The first type is most direct: the sympathetic nerve projects to the chain ganglion at the same level as the target effector (the organ, tissue, or gland to be innervated). An example of this type is spinal nerve T1 that synapses with the T1 chain ganglion to innervate the trachea. The fibers of this branch are called white rami communicantes (singular = ramus communicans); they are myelinated and therefore referred to as white (see Figure 15.3a). The axon from the central neuron (the preganglionic fiber shown as a solid line) synapses with the ganglionic neuron (with the postganglionic fiber shown as a dashed line). This neuron then projects to a target effector—in this case, the trachea—via gray rami communicantes, which are unmyelinated axons. In some cases, the target effectors are located superior or inferior to the spinal segment at which the preganglionic fiber emerges. With respect to the “wiring” involved, the synapse with the ganglionic neuron occurs at chain ganglia superior or inferior to the location of the central neuron. An example of this is spinal nerve T1 that innervates the eye. The spinal nerve tracks up through the chain until it reaches the superior cervical ganglion, where it synapses with the postganglionic neuron (see Figure 15.3b). The cervical ganglia are referred to as paravertebral ganglia, given their location adjacent to prevertebral ganglia in the sympathetic chain. Not all axons from the central neurons terminate in the chain ganglia. Additional branches from the ventral nerve root continue through the chain and on to one of the collateral ganglia as the greater splanchnic nerve or lesser splanchnic nerve. For example, the greater splanchnic nerve at the level of T5 synapses with a collateral ganglion outside the chain before making the connection to the postganglionic nerves that innervate the stomach (see Figure 15.3c). Collateral ganglia, also called prevertebral ganglia, are situated anterior to the vertebral column and receive inputs from splanchnic nerves as well as central sympathetic neurons. They are associated with controlling organs in the abdominal cavity, and are also considered part of the enteric nervous system. The three collateral ganglia are the celiac ganglion, the superior mesenteric ganglion, and the inferior mesenteric ganglion (see Figure 15.2). The word celiac is derived from the Latin word “coelom,” which refers to a body cavity (in this case, the abdominal cavity), and the word mesenteric refers to the digestive system.",abdominal,"Question: Collateral ganglia controls organs in which cavity in the body?. Supporting Text: To continue with the analogy of the circuit diagram, there are three different types of “junctions” that operate within the sympathetic system (Figure 15.3). The first type is most direct: the sympathetic nerve projects to the chain ganglion at the same level as the target effector (the organ, tissue, or gland to be innervated). An example of this type is spinal nerve T1 that synapses with the T1 chain ganglion to innervate the trachea. The fibers of this branch are called white rami communicantes (singular = ramus communicans); they are myelinated and therefore referred to as white (see Figure 15.3a). The axon from the central neuron (the preganglionic fiber shown as a solid line) synapses with the ganglionic neuron (with the postganglionic fiber shown as a dashed line). This neuron then projects to a target effector—in this case, the trachea—via gray rami communicantes, which are unmyelinated axons. In some cases, the target effectors are located superior or inferior to the spinal segment at which the preganglionic fiber emerges. With respect to the “wiring” involved, the synapse with the ganglionic neuron occurs at chain ganglia superior or inferior to the location of the central neuron. An example of this is spinal nerve T1 that innervates the eye. The spinal nerve tracks up through the chain until it reaches the superior cervical ganglion, where it synapses with the postganglionic neuron (see Figure 15.3b). The cervical ganglia are referred to as paravertebral ganglia, given their location adjacent to prevertebral ganglia in the sympathetic chain. Not all axons from the central neurons terminate in the chain ganglia. Additional branches from the ventral nerve root continue through the chain and on to one of the collateral ganglia as the greater splanchnic nerve or lesser splanchnic nerve. For example, the greater splanchnic nerve at the level of T5 synapses with a collateral ganglion outside the chain before making the connection to the postganglionic nerves that innervate the stomach (see Figure 15.3c). Collateral ganglia, also called prevertebral ganglia, are situated anterior to the vertebral column and receive inputs from splanchnic nerves as well as central sympathetic neurons. They are associated with controlling organs in the abdominal cavity, and are also considered part of the enteric nervous system. The three collateral ganglia are the celiac ganglion, the superior mesenteric ganglion, and the inferior mesenteric ganglion (see Figure 15.2). The word celiac is derived from the Latin word “coelom,” which refers to a body cavity (in this case, the abdominal cavity), and the word mesenteric refers to the digestive system..",['cardiac' 'pelvic' 'cranial' 'abdominal'],3,2,cranial
53,A bee will sometimes do a dance to tell other bees in the hive where to find what?,honey,enemies,water,food,"There are many other examples of innate behaviors. For example, did you know that honeybees dance? The honeybee pictured below has found a source of food ( Figure below ). When the bee returns to its hive, it will do a dance. This dance is called the waggle dance . The way the bee moves during its dance tells other bees in the hive where to find the food. Honeybees can do the waggle dance without learning it from other bees, so it is an innate behavior.",food,"Question: A bee will sometimes do a dance to tell other bees in the hive where to find what?. Supporting Text: There are many other examples of innate behaviors. For example, did you know that honeybees dance? The honeybee pictured below has found a source of food ( Figure below ). When the bee returns to its hive, it will do a dance. This dance is called the waggle dance . The way the bee moves during its dance tells other bees in the hive where to find the food. Honeybees can do the waggle dance without learning it from other bees, so it is an innate behavior..",['honey' 'water' 'enemies' 'food'],3,0,honey
54,"The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?",tubes and rods,cones and tubes,holes and cones,rods and cones,"The lens focuses light on the retina , which covers the back of the inside of the eye. The retina has light-sensing photoreceptor cells called rods and cones. Rods let us see in dim light. Cones let us detect light of different colors.",rods and cones,"Question: The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?. Supporting Text: The lens focuses light on the retina , which covers the back of the inside of the eye. The retina has light-sensing photoreceptor cells called rods and cones. Rods let us see in dim light. Cones let us detect light of different colors..",['tubes and rods' 'holes and cones' 'cones and tubes' 'rods and cones'],3,3,rods and cones
55,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",diverse factors,nucleic factors,conditional factors,abiotic factors,"Ecology is the study of ecosystems. That is, ecology is the study of how living organisms interact with each other and with the nonliving part of their environment. An ecosystem consists of all the nonliving factors and living organisms interacting in the same habitat . Recall that living organisms are biotic factors . The biotic factors of an ecosystem include all the populations in a habitat, such as all the species of plants, animals, and fungi, as well as all the micro-organisms. Also recall that the nonliving factors are called abiotic factors . Abiotic factors include temperature, water, soil, and air.",abiotic factors,"Question: Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?. Supporting Text: Ecology is the study of ecosystems. That is, ecology is the study of how living organisms interact with each other and with the nonliving part of their environment. An ecosystem consists of all the nonliving factors and living organisms interacting in the same habitat . Recall that living organisms are biotic factors . The biotic factors of an ecosystem include all the populations in a habitat, such as all the species of plants, animals, and fungi, as well as all the micro-organisms. Also recall that the nonliving factors are called abiotic factors . Abiotic factors include temperature, water, soil, and air..","['diverse factors' 'conditional factors' 'nucleic factors'
 'abiotic factors']",3,3,abiotic factors
56,Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,analogous,nanoparticles,misnomers,enantiomers,,enantiomers,Question: Ibuprofen and albuterol are examples of drugs whose _________ have different effects.. Supporting Text: .,['analogous' 'misnomers' 'nanoparticles' 'enantiomers'],3,3,enantiomers
57,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",deserts activity,mineral activity,oceanic activity,volcanic activity,"When you look at the Moon from Earth, you notice dark and light areas. The maria are dark, solid, flat areas of lava (mostly basalt). Maria covers around 16% of the Moon’s surface, mostly on the near side. The maria formed about 3.0 to 4.0 billion years ago, when the Moon was continually bombarded by meteoroids ( Figure below ). Large meteorites broke through the Moon’s newly formed surface. This eventually caused magma to flow out and fill the craters. Scientists estimate volcanic activity on the Moon ended about 1.2 billion years ago.",volcanic activity,"Question: Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?. Supporting Text: When you look at the Moon from Earth, you notice dark and light areas. The maria are dark, solid, flat areas of lava (mostly basalt). Maria covers around 16% of the Moon’s surface, mostly on the near side. The maria formed about 3.0 to 4.0 billion years ago, when the Moon was continually bombarded by meteoroids ( Figure below ). Large meteorites broke through the Moon’s newly formed surface. This eventually caused magma to flow out and fill the craters. Scientists estimate volcanic activity on the Moon ended about 1.2 billion years ago..","['deserts activity' 'oceanic activity' 'mineral activity'
 'volcanic activity']",3,3,volcanic activity
58,Sensory nerves carry nerve impulses from sensory receptors to what system?,IRCULATORY SYSTEM,MUSCULAR SYSTEM,ENDOCRINE SYSTEM,central nervous,"Human senses include sight, hearing, balance, taste, smell, and touch. Sensory organs such as the eyes contain cells called sensory receptors that respond to particular sensory stimuli. Sensory nerves carry nerve impulses from sensory receptors to the central nervous system. The brain interprets the nerve impulses to form a response.",central nervous,"Question: Sensory nerves carry nerve impulses from sensory receptors to what system?. Supporting Text: Human senses include sight, hearing, balance, taste, smell, and touch. Sensory organs such as the eyes contain cells called sensory receptors that respond to particular sensory stimuli. Sensory nerves carry nerve impulses from sensory receptors to the central nervous system. The brain interprets the nerve impulses to form a response..","['IRCULATORY SYSTEM' 'ENDOCRINE SYSTEM' 'MUSCULAR SYSTEM'
 'central nervous']",3,3,central nervous
59,Which kind of muscle regulates air flow in lungs?,alveoli,vascular,striated,smooth,Smooth muscle regulates air flow in lungs.,smooth,Question: Which kind of muscle regulates air flow in lungs?. Supporting Text: Smooth muscle regulates air flow in lungs..,['alveoli' 'striated' 'vascular' 'smooth'],3,3,smooth
60,What type of bonds are formed by the side-to-side overlap of p orbitals?,theta bonds,sigma bonds,omega bonds,pi bonds,Sigma bonds are formed by the end-to-end overlap of bonding orbitals. Pi bonds are formed by the side-to-side overlap of p orbitals. Single bonds are normally sigma bonds. A double or triple bond consists of one sigma bond and either one or two pi bonds.,pi bonds,Question: What type of bonds are formed by the side-to-side overlap of p orbitals?. Supporting Text: Sigma bonds are formed by the end-to-end overlap of bonding orbitals. Pi bonds are formed by the side-to-side overlap of p orbitals. Single bonds are normally sigma bonds. A double or triple bond consists of one sigma bond and either one or two pi bonds..,['theta bonds' 'omega bonds' 'sigma bonds' 'pi bonds'],3,2,sigma bonds
61,On what day of the cycle does ovulation usually occur?,1st,17th,7th,14th,"After menstruation, the endometrium begins to build up again. At the same time, a follicle starts maturing in an ovary. Ovulation occurs around day 14 of the cycle. After it occurs, the endometrium continues to build up in preparation for a fertilized egg. What happens next depends on whether the egg is fertilized.",14th,"Question: On what day of the cycle does ovulation usually occur?. Supporting Text: After menstruation, the endometrium begins to build up again. At the same time, a follicle starts maturing in an ovary. Ovulation occurs around day 14 of the cycle. After it occurs, the endometrium continues to build up in preparation for a fertilized egg. What happens next depends on whether the egg is fertilized..",['1st' '7th' '17th' '14th'],3,0,1st
62,"The majority of animals belong to what category, characterized by the lack of a backbone?",arthropod,vertebrate,nematode,invertebrate,The majority of living animals are invertebrates. Invertebrates lack a backbone.,invertebrate,"Question: The majority of animals belong to what category, characterized by the lack of a backbone?. Supporting Text: The majority of living animals are invertebrates. Invertebrates lack a backbone..",['arthropod' 'nematode' 'vertebrate' 'invertebrate'],3,2,vertebrate
63,What is another name for the vertebral column?,brain stem,nerve column,pillar,backbone,"animal in Phylum Chordata that has a vertebral column, or backbone.",backbone,"Question: What is another name for the vertebral column?. Supporting Text: animal in Phylum Chordata that has a vertebral column, or backbone..",['brain stem' 'pillar' 'nerve column' 'backbone'],3,3,backbone
64,The temperature at which a substance melts is called its what point?,freezing,boiling,change,melting,"The temperature at which a substance melts is called its melting point. Melting point is a physical property of matter. The gold pictured in the Figure above , for example, has a melting point of 1064°C. This is a high melting point, and most other metals also have high melting points. The melting point of ice, in comparison, is much lower at 0°C. Many substances have even lower melting points. For example, the melting point of oxygen is -222°C.",melting,"Question: The temperature at which a substance melts is called its what point?. Supporting Text: The temperature at which a substance melts is called its melting point. Melting point is a physical property of matter. The gold pictured in the Figure above , for example, has a melting point of 1064°C. This is a high melting point, and most other metals also have high melting points. The melting point of ice, in comparison, is much lower at 0°C. Many substances have even lower melting points. For example, the melting point of oxygen is -222°C..",['freezing' 'change' 'boiling' 'melting'],3,3,melting
65,"Oogenesis, which is gametogenesis in females, begins with what type of ste cells?",uterian,secretion,digestive,ovarian,"Oogenesis Gametogenesis in females is called oogenesis. The process begins with the ovarian stem cells, or oogonia (Figure 27.11). Oogonia are formed during fetal development, and divide via mitosis, much like spermatogonia in the testis. Unlike spermatogonia, however, oogonia form primary oocytes in the fetal ovary prior to birth. These primary oocytes are then arrested in this stage of meiosis I, only to resume it years later, beginning at puberty and continuing until the woman is near menopause (the cessation of a woman’s reproductive functions). The number of primary oocytes present in the ovaries declines from one to two million in an infant, to approximately 400,000 at puberty, to zero by the end of menopause. The initiation of ovulation—the release of an oocyte from the ovary—marks the transition from puberty into reproductive maturity for women. From then on, throughout a woman’s reproductive years, ovulation occurs approximately once every 28 days. Just prior to ovulation, a surge of luteinizing hormone triggers the resumption of meiosis in a primary oocyte. This initiates the transition from primary to secondary oocyte. However, as you can see in Figure 27.11, this cell division does not result in two identical cells. Instead, the cytoplasm is divided unequally, and one daughter cell is much larger than the other. This larger cell, the secondary oocyte, eventually leaves the ovary during ovulation. The smaller cell, called the first polar body, may or may not complete meiosis and produce second polar bodies; in either case, it eventually disintegrates. Therefore, even though oogenesis produces up to four cells, only one survives.",ovarian,"Question: Oogenesis, which is gametogenesis in females, begins with what type of ste cells?. Supporting Text: Oogenesis Gametogenesis in females is called oogenesis. The process begins with the ovarian stem cells, or oogonia (Figure 27.11). Oogonia are formed during fetal development, and divide via mitosis, much like spermatogonia in the testis. Unlike spermatogonia, however, oogonia form primary oocytes in the fetal ovary prior to birth. These primary oocytes are then arrested in this stage of meiosis I, only to resume it years later, beginning at puberty and continuing until the woman is near menopause (the cessation of a woman’s reproductive functions). The number of primary oocytes present in the ovaries declines from one to two million in an infant, to approximately 400,000 at puberty, to zero by the end of menopause. The initiation of ovulation—the release of an oocyte from the ovary—marks the transition from puberty into reproductive maturity for women. From then on, throughout a woman’s reproductive years, ovulation occurs approximately once every 28 days. Just prior to ovulation, a surge of luteinizing hormone triggers the resumption of meiosis in a primary oocyte. This initiates the transition from primary to secondary oocyte. However, as you can see in Figure 27.11, this cell division does not result in two identical cells. Instead, the cytoplasm is divided unequally, and one daughter cell is much larger than the other. This larger cell, the secondary oocyte, eventually leaves the ovary during ovulation. The smaller cell, called the first polar body, may or may not complete meiosis and produce second polar bodies; in either case, it eventually disintegrates. Therefore, even though oogenesis produces up to four cells, only one survives..",['uterian' 'digestive' 'secretion' 'ovarian'],3,3,ovarian
66,Humans are among the most versatile of mammals with what type of diet?,vegetarian,carnivore,herbivore,omnivore,,omnivore,Question: Humans are among the most versatile of mammals with what type of diet?. Supporting Text: .,['vegetarian' 'herbivore' 'carnivore' 'omnivore'],3,3,omnivore
67,Solute potential is also called osmotic potential because solutes affect the direction of what?,electrolysis,permeability,electrolysis,osmosis,,osmosis,Question: Solute potential is also called osmotic potential because solutes affect the direction of what?. Supporting Text: .,['electrolysis' 'electrolysis' 'permeability' 'osmosis'],3,3,osmosis
68,"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",interference,gravity,change,motion,"9.80 m/s 2 . When we say that an acceleration is 45 g 's, it is 45×9.80 m/s 2 , which is approximately 440 m/s 2 . ) While living subjects are not used any more, land speeds of 10,000 km/h have been obtained with rocket sleds. In this example, as in the preceding one, the system of interest is obvious. We will see in later examples that choosing the system of interest is crucial—and the choice is not always obvious. Newton’s second law of motion is more than a definition; it is a relationship among acceleration, force, and mass. It can help us make predictions. Each of those physical quantities can be defined independently, so the second law tells us something basic and universal about nature. The next section introduces the third and final law of motion.",motion,"Question: Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?. Supporting Text: 9.80 m/s 2 . When we say that an acceleration is 45 g 's, it is 45×9.80 m/s 2 , which is approximately 440 m/s 2 . ) While living subjects are not used any more, land speeds of 10,000 km/h have been obtained with rocket sleds. In this example, as in the preceding one, the system of interest is obvious. We will see in later examples that choosing the system of interest is crucial—and the choice is not always obvious. Newton’s second law of motion is more than a definition; it is a relationship among acceleration, force, and mass. It can help us make predictions. Each of those physical quantities can be defined independently, so the second law tells us something basic and universal about nature. The next section introduces the third and final law of motion..",['interference' 'change' 'gravity' 'motion'],3,3,motion
69,What is the physical transformation of an insect moving through stages of life?,parthenogenesis,Transition,Growth and Development,metamorphosis,"With a few exceptions, all insect life begins as an egg. After leaving the egg, insects must grow and transform until reaching adulthood. Only the adult insect can mate and reproduce. The physical transformation of an insect from one stage of its life cycle to another is known as metamorphosis .",metamorphosis,"Question: What is the physical transformation of an insect moving through stages of life?. Supporting Text: With a few exceptions, all insect life begins as an egg. After leaving the egg, insects must grow and transform until reaching adulthood. Only the adult insect can mate and reproduce. The physical transformation of an insect from one stage of its life cycle to another is known as metamorphosis ..",['parthenogenesis' 'Growth and Development' 'Transition' 'metamorphosis'],3,3,metamorphosis
70,"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",a thermodynamic one,a economical one,a lateral one,a neutral one,"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is a neutral solution. The products of the reaction do not have the characteristics of either an acid or a base. Here is the balanced molecular equation.",a neutral one,"Question: When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?. Supporting Text: When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is a neutral solution. The products of the reaction do not have the characteristics of either an acid or a base. Here is the balanced molecular equation..",['a thermodynamic one' 'a lateral one' 'a economical one' 'a neutral one'],3,3,a neutral one
71,What are fast moving rivers of air that are going in opposite directions called?,burst streams,air streams,cause streams,jet streams,Jet streams are fast moving rivers of air going in opposite directions.,jet streams,Question: What are fast moving rivers of air that are going in opposite directions called?. Supporting Text: Jet streams are fast moving rivers of air going in opposite directions..,['burst streams' 'cause streams' 'air streams' 'jet streams'],3,3,jet streams
72,"Nephrons, renal tubules and the loop of henle are part of the process of blood filtration by what organs?",liver,bladder,lungs,kidneys,"Kidney Function and Physiology Kidneys filter blood in a three-step process. First, the nephrons filter blood that runs through the capillary network in the glomerulus. Almost all solutes, except for proteins, are filtered out into the glomerulus by a process called glomerular filtration. Second, the filtrate is collected in the renal tubules. Most of the solutes get reabsorbed in the PCT by a process called tubular reabsorption. In the loop of Henle, the filtrate continues to exchange solutes and water with the renal medulla and the peritubular capillary network. Water is also reabsorbed during this step. Then, additional solutes and wastes are secreted into the kidney tubules during tubular secretion, which is, in essence, the opposite process to tubular reabsorption. The collecting ducts collect filtrate coming from the nephrons and fuse in the medullary papillae. From here, the papillae deliver the filtrate, now called urine, into the minor calyces that eventually connect to the ureters through the renal pelvis. This entire process is illustrated in Figure 41.7.",kidneys,"Question: Nephrons, renal tubules and the loop of henle are part of the process of blood filtration by what organs?. Supporting Text: Kidney Function and Physiology Kidneys filter blood in a three-step process. First, the nephrons filter blood that runs through the capillary network in the glomerulus. Almost all solutes, except for proteins, are filtered out into the glomerulus by a process called glomerular filtration. Second, the filtrate is collected in the renal tubules. Most of the solutes get reabsorbed in the PCT by a process called tubular reabsorption. In the loop of Henle, the filtrate continues to exchange solutes and water with the renal medulla and the peritubular capillary network. Water is also reabsorbed during this step. Then, additional solutes and wastes are secreted into the kidney tubules during tubular secretion, which is, in essence, the opposite process to tubular reabsorption. The collecting ducts collect filtrate coming from the nephrons and fuse in the medullary papillae. From here, the papillae deliver the filtrate, now called urine, into the minor calyces that eventually connect to the ureters through the renal pelvis. This entire process is illustrated in Figure 41.7..",['liver' 'lungs' 'bladder' 'kidneys'],3,3,kidneys
73,"Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?",mutations,birth cycles,gene pools,life cycles,"Figure 11.9 Fungi, such as black bread mold (Rhizopus nigricans), have haploid-dominant life cycles. The haploid multicellular stage produces specialized haploid cells by mitosis that fuse to form a diploid zygote. The zygote undergoes meiosis to produce haploid spores. Each spore gives rise to a multicellular haploid organism by mitosis. (credit “zygomycota” micrograph: modification of work by “Fanaberka”/Wikimedia Commons).",life cycles,"Question: Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?. Supporting Text: Figure 11.9 Fungi, such as black bread mold (Rhizopus nigricans), have haploid-dominant life cycles. The haploid multicellular stage produces specialized haploid cells by mitosis that fuse to form a diploid zygote. The zygote undergoes meiosis to produce haploid spores. Each spore gives rise to a multicellular haploid organism by mitosis. (credit “zygomycota” micrograph: modification of work by “Fanaberka”/Wikimedia Commons)..",['mutations' 'gene pools' 'birth cycles' 'life cycles'],3,3,life cycles
74,The electrode at which oxidation occurs is called?,calomel,diode,cathode,the anode,"The electrode at which oxidation occurs is called the anode . The zinc anode gradually diminishes as the cell operates due to the loss of zinc metal. The zinc ion concentration in the half-cell increases. Because of the production of electrons at the anode, it is labeled as the negative electrode.",the anode,"Question: The electrode at which oxidation occurs is called?. Supporting Text: The electrode at which oxidation occurs is called the anode . The zinc anode gradually diminishes as the cell operates due to the loss of zinc metal. The zinc ion concentration in the half-cell increases. Because of the production of electrons at the anode, it is labeled as the negative electrode..",['calomel' 'cathode' 'diode' 'the anode'],3,3,the anode
75,There are about 6200 known species of what?,reptiles,primates,mammals,amphibians,,amphibians,Question: There are about 6200 known species of what?. Supporting Text: .,['reptiles' 'mammals' 'primates' 'amphibians'],3,2,primates
76,The lens and other parts of the eye work together to focus a real image on what eye structure?,cornea,iris,pupil,retina,"As just described, the eyes collect and focus visible light. The lens and other structures of the eye work together to focus a real image on the retina. The image is upside-down and reduced in size, as you can see in Figure below . The image reaches the brain as electrical signals that travel through the optic nerve. The brain interprets the signals as shape, color, and brightness. It also interprets the image as though it were right-side up. The brain does this automatically, so what we see is always right-side up. The brain also “tells” us what we are seeing.",retina,"Question: The lens and other parts of the eye work together to focus a real image on what eye structure?. Supporting Text: As just described, the eyes collect and focus visible light. The lens and other structures of the eye work together to focus a real image on the retina. The image is upside-down and reduced in size, as you can see in Figure below . The image reaches the brain as electrical signals that travel through the optic nerve. The brain interprets the signals as shape, color, and brightness. It also interprets the image as though it were right-side up. The brain does this automatically, so what we see is always right-side up. The brain also “tells” us what we are seeing..",['cornea' 'pupil' 'iris' 'retina'],3,3,retina
77,What is required to move or change matter from one state to another?,evolution,food,gravity,energy,"Energy provides the ability to move or change matter from one state to another (for example, from solid to liquid). Every living thing needs energy to live and grow. Your body gets its energy from food, but that is only a small part of the energy you use every day. Cooking your food takes energy, and so does keeping it cold in the refrigerator or the freezer. The same is true for heating or cooling your home. Whether you are turning on a light in the kitchen or riding in a car to school, you are using energy. Billions of people all around the world use energy, so there is a huge demand for resources to provide all of this energy. Why do we need so much energy? The main reason is that almost everything that happens on Earth involves energy.",energy,"Question: What is required to move or change matter from one state to another?. Supporting Text: Energy provides the ability to move or change matter from one state to another (for example, from solid to liquid). Every living thing needs energy to live and grow. Your body gets its energy from food, but that is only a small part of the energy you use every day. Cooking your food takes energy, and so does keeping it cold in the refrigerator or the freezer. The same is true for heating or cooling your home. Whether you are turning on a light in the kitchen or riding in a car to school, you are using energy. Billions of people all around the world use energy, so there is a huge demand for resources to provide all of this energy. Why do we need so much energy? The main reason is that almost everything that happens on Earth involves energy..",['evolution' 'gravity' 'food' 'energy'],3,3,energy
78,A food web can be broken up into what further subdivision that usually has a few links in it?,water chain,food pyramid,oxygen chain,food chain,,food chain,Question: A food web can be broken up into what further subdivision that usually has a few links in it?. Supporting Text: .,['water chain' 'oxygen chain' 'food pyramid' 'food chain'],3,3,food chain
79,What living species of bird is considered the  largest of the raptors?,pteradactyl,California condor,peregrine falcon,golden eagles,"Although not as famous as its bald cousin, Golden Eagles are much easier to find in Northern California - one of the largest breeding populations for Golden Eagles. The largest of the raptors, Golden Eagles weigh typically between 8 and 12 pounds, and their wing span is around 6 to 7 feet. These eagles dive towards earth to catch prey, and can reach speeds of up to 200 mph! Meet one of the largest birds of prey at http://www. kqed. org/quest/television/cool-critters-the-golden-eagle .",golden eagles,"Question: What living species of bird is considered the  largest of the raptors?. Supporting Text: Although not as famous as its bald cousin, Golden Eagles are much easier to find in Northern California - one of the largest breeding populations for Golden Eagles. The largest of the raptors, Golden Eagles weigh typically between 8 and 12 pounds, and their wing span is around 6 to 7 feet. These eagles dive towards earth to catch prey, and can reach speeds of up to 200 mph! Meet one of the largest birds of prey at http://www. kqed. org/quest/television/cool-critters-the-golden-eagle ..",['pteradactyl' 'peregrine falcon' 'California condor' 'golden eagles'],3,3,golden eagles
80,What contains positive protons and neutral neutrons?,epidermis,electrons,ions,nucleus,The nucleus is at the center of the atom. It contains positive protons and neutral neutrons. Negative electrons constantly move about the nucleus.,nucleus,Question: What contains positive protons and neutral neutrons?. Supporting Text: The nucleus is at the center of the atom. It contains positive protons and neutral neutrons. Negative electrons constantly move about the nucleus..,['epidermis' 'ions' 'electrons' 'nucleus'],3,3,nucleus
